iter	RMSE
0	3706.065233
1	3412.443999
2	3136.626473
3	2893.531997
4	2667.503457
5	2456.679766
6	2270.37677
7	2103.979935
8	1953.143014
9	1816.981388
10	1690.415736
11	1577.566459
12	1474.986039
13	1382.700919
14	1300.189088
15	1228.281424
16	1159.01493
17	1100.6671
18	1048.091532
19	999.5137693
20	957.9028161
21	920.5806247
22	887.0624734
23	857.5237998
24	829.9526685
25	804.3614612
26	782.2870259
27	763.3310516
28	746.7158011
29	731.9944142
30	718.691492
31	706.2037208
32	695.7490173
33	686.6252067
34	678.3705751
35	670.8369828
36	664.1100173
37	657.7924467
38	652.4867301
39	647.7194104
40	643.4719959
41	639.1553224
42	634.9159995
43	631.6645281
44	628.1940901
45	624.9949776
46	622.3124535
47	620.0810541
48	617.7796033
49	615.6629142
50	613.1840577
51	611.3024964
52	609.7323342
53	608.2720352
54	606.7853854
55	605.4213826
56	604.1887683
57	602.6590364
58	601.862198
59	600.9575495
60	600.1405462
61	599.2238657
62	598.5271339
63	597.6686861
64	596.9746832
65	596.1893687
66	595.5200725
67	594.6820525
68	593.8762102
69	592.9147937
70	592.320489
71	591.7704477
72	591.1773196
73	590.6996639
74	590.1562081
75	589.7545134
76	589.1049076
77	588.5633439
78	588.1664684
79	587.8098589
80	587.5151371
81	587.2184189
82	586.7065539
83	586.3204301
84	586.0063758
85	585.4932093
86	584.9986486
87	584.7113353
88	584.3919049
89	584.1114643
90	583.9527573
91	583.7067786
92	583.4888204
93	583.1733318
94	582.9459694
95	582.5419004
96	582.3754947
97	581.9743313
98	581.8090543
99	581.4724658
100	581.2621444
101	580.9662208
102	580.8490916
103	580.5850197
104	580.4258877
105	580.1488766
106	579.9377329
107	579.549568
108	579.393729
109	579.1313361
110	578.9640757
111	578.8669203
112	578.6926552
113	578.4980015
114	578.3192157
115	577.9625163
116	577.6735384
117	577.5520041
118	577.3401705
119	577.2323598
120	577.0346301
121	576.9510589
122	576.8047082
123	576.7157744
124	576.5388553
125	576.3012662
126	576.1552987
127	576.0463391
128	575.9310914
129	575.7304249
130	575.5757128
131	575.3231717
132	575.1711631
133	574.9980415
134	574.7803611
135	574.6194381
136	574.385857
137	574.2149391
138	574.0709279
139	573.877805
140	573.7426139
141	573.5369409
142	573.4456813
143	573.2331076
144	573.1273737
145	572.892342
146	572.708399
147	572.5901904
148	572.4624363
149	572.2872205
150	572.1484765
151	572.0179757
152	571.8771919
153	571.8063993
154	571.6635351
155	571.4321809
156	571.3663301
157	571.2644488
158	571.1186086
159	570.9809967
160	570.8474298
161	570.7021511
162	570.6138462
163	570.4846072
164	570.3772692
165	570.2636186
166	570.0892535
167	569.9659766
168	569.7601085
169	569.6534494
170	569.5399576
171	569.3570023
172	569.2628065
173	569.1690173
174	569.0833337
175	568.9759951
176	568.8524841
177	568.702693
178	568.6016548
179	568.4938573
180	568.4325526
181	568.3030028
182	568.1894954
183	568.0856606
184	567.9756529
185	567.8870458
186	567.7855654
187	567.6755275
188	567.6002964
189	567.4996298
190	567.4476825
191	567.2833404
192	567.1649441
193	567.0774093
194	566.9723083
195	566.8847966
196	566.7825312
197	566.7456274
198	566.6763511
199	566.6111513
200	566.5203835
201	566.4527489
202	566.34306
203	566.2299948
204	566.1200444
205	566.0311562
206	565.9016703
207	565.7748345
208	565.6779896
209	565.6255687
210	565.5448478
211	565.4250227
212	565.3294186
213	565.2401315
214	565.1208005
215	565.0379755
216	564.9307459
217	564.8853965
218	564.8364712
219	564.757689
220	564.6692697
221	564.5990548
222	564.4872535
223	564.4406263
224	564.2644892
225	564.2073807
226	564.1261578
227	563.9979201
228	563.9537346
229	563.9180833
230	563.832065
231	563.8152048
232	563.753985
233	563.6882434
234	563.6323633
235	563.5346237
236	563.4584125
237	563.445421
238	563.3390788
239	563.2655602
240	563.1954085
241	563.0747496
242	562.9676789
243	562.8613437
244	562.6846894
245	562.6133317
246	562.5748271
247	562.4681011
248	562.3189542
249	562.2032549
250	562.1072202
251	562.034447
252	561.9651752
253	561.8628152
254	561.8510707
255	561.7918826
256	561.7736786
257	561.7065692
258	561.6269417
259	561.5455042
260	561.4764111
261	561.3897712
262	561.2989755
263	561.2162744
264	561.1258816
265	561.0456417
266	561.0268524
267	560.9658502
268	560.8971093
269	560.8372416
270	560.7494797
271	560.6785568
272	560.5965355
273	560.5379842
274	560.4866841
275	560.4000408
276	560.3035947
277	560.179493
278	560.1130345
279	560.0598761
280	559.9972012
281	559.920212
282	559.8537646
283	559.7187696
284	559.6426905
285	559.5835498
286	559.5692262
287	559.4860378
288	559.4465592
289	559.3907604
290	559.3327404
291	559.2852202
292	559.16199
293	559.0477366
294	558.9601852
295	558.8444792
296	558.7462174
297	558.6307226
298	558.6154798
299	558.5739397
300	558.5137681
301	558.4289566
302	558.3765517
303	558.2950981
304	558.2376591
305	558.1199687
306	558.0679411
307	558.0117276
308	557.944956
309	557.8980924
310	557.8154337
311	557.7415779
312	557.6521311
313	557.5804025
314	557.5328565
315	557.4856895
316	557.4251759
317	557.3948847
318	557.34118
319	557.2718618
320	557.2193389
321	557.1499884
322	557.06805
323	556.9615542
324	556.8770001
325	556.8342594
326	556.7955176
327	556.7346842
328	556.7060639
329	556.6289577
330	556.5835332
331	556.4966992
332	556.429035
333	556.3646421
334	556.3163323
335	556.2532531
336	556.249377
337	556.1797717
338	556.139636
339	556.1274034
340	556.0668193
341	555.9627519
342	555.8882675
343	555.8450102
344	555.83007
345	555.7897718
346	555.7252008
347	555.6452973
348	555.5560648
349	555.5166981
350	555.4497959
351	555.4482609
352	555.4085704
353	555.3223548
354	555.2323441
355	555.1635992
356	555.0952993
357	555.0002977
358	554.9659413
359	554.7700368
360	554.7267596
361	554.6792095
362	554.5806745
363	554.5369966
364	554.4357162
365	554.3657795
366	554.3079755
367	554.2454423
368	554.1561255
369	554.0933007
370	554.011018
371	553.9473522
372	553.9096291
373	553.8809788
374	553.7789159
375	553.7202074
376	553.6432732
377	553.6155094
378	553.5457129
379	553.4123619
380	553.3532793
381	553.3061449
382	553.2021046
383	553.1989178
384	553.1351643
385	553.1097873
386	553.0673445
387	552.9622604
388	552.8895114
389	552.8149102
390	552.7788429
391	552.7235482
392	552.6875236
393	552.6221801
394	552.5515414
395	552.4994068
396	552.4768701
397	552.4376548
398	552.3193852
399	552.2681906
400	552.2626525
401	552.2234807
402	552.1712047
403	552.1592195
404	552.1271913
405	552.0736938
406	552.0548671
407	551.9936467
408	551.9484408
409	551.9241168
410	551.8852974
411	551.8264309
412	551.7453844
413	551.7103347
414	551.6376965
415	551.6162648
416	551.549056
417	551.5014288
418	551.4611311
419	551.4231793
420	551.3989182
421	551.307728
422	551.3052957
423	551.2654395
424	551.1877304
425	551.1391754
426	551.0980106
427	551.0382886
428	551.0054511
429	550.9611354
430	550.8710553
431	550.8112131
432	550.7640777
433	550.7629252
434	550.6746569
435	550.6735949
436	550.671347
437	550.6064762
438	550.6009143
439	550.599964
440	550.5152783
441	550.4114295
442	550.3705776
443	550.2317207
444	550.1539489
445	550.1199007
446	550.0535285
447	550.0485616
448	550.0006165
449	549.9985374
450	549.9670427
451	549.8350882
452	549.7856405
453	549.7306322
454	549.7109799
455	549.6863955
456	549.650943
457	549.628623
458	549.5417225
459	549.4402313
460	549.3879827
461	549.3863145
462	549.334248
463	549.3144478
464	549.2126977
465	549.1250645
466	549.0444582
467	549.008991
468	548.9854762
469	548.9848181
470	548.8977224
471	548.8795441
472	548.8114886
473	548.7948953
474	548.7808546
475	548.76101
476	548.7394331
477	548.639215
478	548.5342706
479	548.4763042
480	548.4221435
481	548.4148426
482	548.3846056
483	548.3276709
484	548.2848841
485	548.2344481
486	548.1691568
487	548.1209532
488	548.1099327
489	548.072788
490	548.0381981
491	547.9014142
492	547.8566266
493	547.7614595
494	547.6468988
495	547.5924702
496	547.5445349
497	547.4639491
498	547.4274546
499	547.3298832
500	547.2541973
501	547.1953938
502	547.1659044
503	547.129792
504	547.1017281
505	547.0116368
506	546.9140886
507	546.8436162
508	546.8263528
509	546.7927332
510	546.7436354
511	546.6900421
512	546.6624363
513	546.650142
514	546.6046427
515	546.5712401
516	546.5396028
517	546.5021705
518	546.4589238
519	546.4259478
520	546.3824093
521	546.3069937
522	546.2755222
523	546.2546322
524	546.2155974
525	546.1657211
526	546.1432816
527	546.1143027
528	546.0491814
529	546.0219997
530	545.9144903
531	545.8725352
532	545.832353
533	545.799828
534	545.7671189
535	545.6632822
536	545.6210123
537	545.540698
538	545.4086892
539	545.380497
540	545.3101361
541	545.2959998
542	545.2673285
543	545.1716935
544	545.1567612
545	545.105915
546	545.0728392
547	545.0371377
548	544.9728379
549	544.9471857
550	544.9011203
551	544.8396761
552	544.7715449
553	544.7600223
554	544.7583404
555	544.6741181
556	544.6269777
557	544.6031103
558	544.5802296
559	544.4774823
560	544.4583141
561	544.4568187
562	544.4406134
563	544.4157152
564	544.3659865
565	544.3097012
566	544.2889237
567	544.2653502
568	544.2463689
569	544.2453192
570	544.2099671
571	544.1322664
572	544.1008745
573	544.0512999
574	544.0110055
575	543.9895217
576	543.9843119
577	543.9245958
578	543.8750411
579	543.7543756
580	543.7120342
581	543.6369114
582	543.5655586
583	543.5277906
584	543.4836432
585	543.4653481
586	543.4303682
587	543.3616011
588	543.3041505
589	543.3028259
590	543.2985468
591	543.2685662
592	543.2391856
593	543.2011156
594	543.1690324
595	543.1622421
596	543.1503332
597	543.1264934
598	543.0999159
599	543.0530475
600	543.0335087
601	543.0166358
602	542.9589248
603	542.8949787
604	542.8658526
605	542.8133432
606	542.6985792
607	542.6654937
608	542.6417417
609	542.6195336
610	542.5832276
611	542.5520481
612	542.5454302
613	542.515955
614	542.4198603
615	542.3601093
616	542.3357514
617	542.2743362
618	542.2200157
619	542.1848834
620	542.1179521
621	542.117254
622	542.0840141
623	542.0651313
624	541.9748493
625	541.9475685
626	541.9214812
627	541.862301
628	541.8336541
629	541.807761
630	541.7757866
631	541.7398433
632	541.7070791
633	541.6168938
634	541.5706936
635	541.5122183
636	541.4497122
637	541.4126102
638	541.4121925
639	541.4118005
640	541.3610321
641	541.3114302
642	541.2766385
643	541.2423399
644	541.2183237
645	541.1768015
646	541.1764377
647	541.1358374
648	541.0975952
649	541.0745055
650	541.0741711
651	541.0731895
652	541.0274688
653	540.9881805
654	540.9528315
655	540.8981216
656	540.8662534
657	540.8034077
658	540.8030987
659	540.7607988
660	540.715945
661	540.6802821
662	540.6421917
663	540.5593421
664	540.499425
665	540.4991342
666	540.4565272
667	540.4012288
668	540.3395295
669	540.3114252
670	540.2559964
671	540.1969805
672	540.1112514
673	540.0860854
674	540.0590056
675	540.0318314
676	540.0247048
677	539.9682101
678	539.9404112
679	539.893237
680	539.8392163
681	539.7877646
682	539.7154221
683	539.6713468
684	539.6426633
685	539.6421616
686	539.6152063
687	539.5172618
688	539.4273673
689	539.3836458
690	539.3833761
691	539.3433417
692	539.3151239
693	539.3004032
694	539.2577922
695	539.2037647
696	539.1201407
697	539.0975896
698	539.0559284
699	539.0214995
700	538.9856081
701	538.9544196
702	538.9348834
703	538.8606219
704	538.8421453
705	538.7839401
706	538.7633809
707	538.6897973
708	538.6718406
709	538.6693032
710	538.6346131
711	538.546106
712	538.4797876
713	538.4795572
714	538.4301413
715	538.374854
716	538.3365304
717	538.2944
718	538.2429468
719	538.224087
720	538.2015051
721	538.172603
722	538.1472049
723	538.1254237
724	538.0858022
725	538.0413336
726	537.9892199
727	537.9489175
728	537.9415655
729	537.8906898
730	537.8737162
731	537.8145527
732	537.7946822
733	537.7036017
734	537.6539786
735	537.6371205
736	537.6038924
737	537.5539874
738	537.548798
739	537.5180831
740	537.4436661
741	537.3591617
742	537.3284593
743	537.312319
744	537.2740831
745	537.2449468
746	537.173094
747	537.1591029
748	537.1067318
749	537.0841887
750	537.0672555
751	537.0085524
752	536.9773248
753	536.9241028
754	536.8931935
755	536.8034489
756	536.7205514
757	536.6914028
758	536.6672395
759	536.5993841
760	536.598825
761	536.5969938
762	536.5402772
763	536.429145
764	536.3594126
765	536.2912824
766	536.223708
767	536.1789286
768	536.1222379
769	536.0843015
770	536.0324547
771	535.9928245
772	535.9872973
773	535.9818754
774	535.9639949
775	535.9069233
776	535.8623736
777	535.8410382
778	535.7629506
779	535.6622269
780	535.6353182
781	535.6350509
782	535.5926105
783	535.5196693
784	535.46359
785	535.4585613
786	535.4005618
787	535.3707528
788	535.3290995
789	535.321181
790	535.2354803
791	535.1624599
792	535.1020027
793	535.0758205
794	535.0519466
795	535.0254918
796	534.9923151
797	534.9528543
798	534.8714283
799	534.8245101
800	534.7990418
801	534.7527881
802	534.6910864
803	534.6855306
804	534.6527575
805	534.625705
806	534.5969374
807	534.5561738
808	534.5289607
809	534.4687931
810	534.4466978
811	534.4041043
812	534.3743036
813	534.3127955
814	534.2893409
815	534.2558453
816	534.132516
817	534.0826676
818	533.9765154
819	533.9294086
820	533.8963074
821	533.8693368
822	533.8178792
823	533.7644799
824	533.7352931
825	533.7256466
826	533.6953268
827	533.6610653
828	533.6403204
829	533.6249222
830	533.5833343
831	533.5102503
832	533.4777041
833	533.4238071
834	533.383384
835	533.3565536
836	533.2882687
837	533.2808351
838	533.2171276
839	533.1515475
840	533.0811107
841	533.0111703
842	532.9511204
843	532.9202128
844	532.8981497
845	532.8390997
846	532.8051069
847	532.7540814
848	532.7173202
849	532.6612146
850	532.6497243
851	532.606132
852	532.5996387
853	532.5781718
854	532.539998
855	532.4401215
856	532.4009208
857	532.3290638
858	532.318514
859	532.2844099
860	532.2309204
861	532.1895919
862	532.1674506
863	532.1231813
864	532.1178687
865	532.1085619
866	532.0866841
867	532.0527404
868	532.030817
869	532.0165352
870	531.9863372
871	531.9808898
872	531.9511019
873	531.9224817
874	531.8672181
875	531.8500093
876	531.7960496
877	531.773365
878	531.7679785
879	531.700176
880	531.6406432
881	531.6265059
882	531.6034729
883	531.5839773
884	531.5805313
885	531.4675818
886	531.4505083
887	531.4220378
888	531.336381
889	531.2874282
890	531.2317529
891	531.2082722
892	531.1837644
893	531.139698
894	531.0280968
895	530.9923803
896	530.9690077
897	530.9412699
898	530.8976172
899	530.8557065
900	530.792691
901	530.7548149
902	530.7479225
903	530.6955088
904	530.682699
905	530.5908306
906	530.5655911
907	530.5436187
908	530.5302772
909	530.5048385
910	530.5044268
911	530.4447071
912	530.4140428
913	530.4114934
914	530.3948983
915	530.3665208
916	530.3387286
917	530.2996662
