iter	Passed	Remaining
0	13	1329
1	47	2328
2	70	2284
3	85	2063
4	99	1890
5	111	1750
6	124	1648
7	139	1607
8	149	1516
9	171	1547
10	203	1650
11	222	1631
12	240	1610
13	256	1577
14	269	1524
15	281	1476
16	292	1430
17	301	1372
18	316	1348
19	329	1317
20	340	1282
21	350	1241
22	361	1208
23	374	1185
24	385	1155
25	393	1119
26	404	1094
27	418	1077
28	430	1055
29	441	1029
30	450	1002
31	461	980
32	473	961
33	482	935
34	494	919
35	505	898
36	514	876
37	526	858
38	537	839
39	546	819
40	554	798
41	564	779
42	572	759
43	621	791
44	678	829
45	717	842
46	725	818
47	763	827
48	772	803
49	785	785
50	798	766
51	812	749
52	822	729
53	831	708
54	842	689
55	854	671
56	868	654
57	879	637
58	887	617
59	898	599
60	908	580
61	916	561
62	929	545
63	941	529
64	949	511
65	959	494
66	969	477
67	978	460
68	988	444
69	998	428
70	1007	411
71	1018	396
72	1028	380
73	1036	364
74	1049	349
75	1060	334
76	1069	319
77	1080	304
78	1092	290
79	1101	275
80	1111	260
81	1124	246
82	1136	232
83	1144	218
84	1155	203
85	1175	191
86	1187	177
87	1198	163
88	1207	149
89	1217	135
90	1228	121
91	1236	107
92	1246	93
93	1257	80
94	1265	66
95	1277	53
96	1287	39
97	1297	26
98	1308	13
99	1319	0
