iter	Passed	Remaining
0	347	347264
1	387	193520
2	410	136420
3	430	107151
4	458	91339
5	479	79468
6	500	70953
7	518	64302
8	535	58985
9	553	54777
10	569	51234
11	586	48287
12	604	45859
13	620	43721
14	638	41952
15	656	40357
16	673	38951
17	690	37678
18	708	36564
19	725	35542
20	741	34581
21	758	33719
22	776	32981
23	793	32263
24	812	31705
25	829	31092
26	846	30511
27	863	29974
28	880	29472
29	896	28993
30	916	28632
31	932	28202
32	949	27823
33	966	27454
34	983	27108
35	1000	26780
36	1019	26527
37	1045	26458
38	1075	26498
39	1098	26372
40	1135	26552
41	1185	27037
42	1215	27059
43	1249	27140
44	1280	27164
45	1383	28688
46	1461	29643
47	1595	31644
48	1634	31723
49	1666	31669
50	1694	31535
51	1755	32000
52	1781	31828
53	1812	31749
54	1846	31722
55	1874	31593
56	1904	31502
57	1932	31390
58	1963	31309
59	2000	31338
60	2040	31410
61	2066	31271
62	2091	31114
63	2109	30847
64	2125	30580
65	2145	30361
66	2173	30261
67	2203	30195
68	2231	30113
69	2251	29916
70	2270	29712
71	2287	29489
72	2304	29267
73	2322	29060
74	2338	28846
75	2356	28654
76	2396	28723
77	2420	28613
78	2437	28416
79	2453	28218
80	2470	28029
81	2486	27836
82	2502	27651
83	2519	27475
84	2535	27293
85	2553	27135
86	2569	26960
87	2585	26799
88	2605	26674
89	2624	26534
90	2642	26394
91	2662	26276
92	2689	26227
93	2715	26169
94	2743	26138
95	2764	26027
96	2786	25939
97	2805	25819
98	2822	25686
99	2838	25550
100	2855	25420
101	2874	25304
102	2891	25177
103	2911	25085
104	2939	25057
105	2962	24985
106	2989	24951
107	3011	24868
108	3028	24756
109	3056	24726
110	3084	24700
111	3107	24634
112	3130	24576
113	3152	24500
114	3174	24429
115	3192	24327
116	3212	24241
117	3229	24136
118	3251	24073
119	3269	23975
120	3286	23878
121	3303	23775
122	3320	23675
123	3336	23572
124	3354	23482
125	3371	23388
126	3387	23288
127	3404	23194
128	3421	23100
129	3438	23011
130	3454	22916
131	3471	22827
132	3488	22737
133	3504	22645
134	3520	22556
135	3536	22466
136	3553	22382
137	3569	22296
138	3586	22214
139	3603	22138
140	3619	22049
141	3635	21965
142	3651	21884
143	3667	21801
144	3683	21718
145	3699	21638
146	3715	21562
147	3732	21485
148	3749	21415
149	3766	21343
150	3782	21265
151	3798	21190
152	3815	21122
153	3832	21051
154	3848	20981
155	3864	20910
156	3881	20841
157	3898	20773
158	3913	20698
159	3931	20639
160	3955	20613
161	3983	20607
162	4004	20563
163	4021	20500
164	4038	20438
165	4057	20386
166	4074	20325
167	4091	20264
168	4108	20203
169	4125	20142
170	4142	20084
171	4158	20021
172	4176	19965
173	4194	19911
174	4212	19857
175	4229	19800
176	4245	19742
177	4262	19683
178	4278	19624
179	4294	19566
180	4311	19508
181	4328	19453
182	4345	19399
183	4361	19342
184	4377	19286
185	4394	19230
186	4412	19184
187	4429	19130
188	4446	19077
189	4462	19024
190	4479	18971
191	4496	18923
192	4512	18870
193	4528	18813
194	4545	18763
195	4561	18709
196	4577	18659
197	4594	18608
198	4609	18554
199	4626	18506
200	4643	18459
201	4660	18411
202	4676	18362
203	4695	18320
204	4711	18270
205	4728	18223
206	4744	18174
207	4765	18146
208	4791	18133
209	4821	18138
210	4854	18153
211	4897	18204
212	4927	18205
213	4949	18179
214	4973	18160
215	4991	18117
216	5008	18073
217	5025	18028
218	5051	18016
219	5069	17972
220	5088	17937
221	5105	17892
222	5121	17844
223	5136	17794
224	5152	17748
225	5170	17707
226	5186	17661
227	5202	17614
228	5218	17569
229	5235	17528
230	5252	17486
231	5268	17440
232	5284	17395
233	5301	17354
234	5317	17311
235	5334	17268
236	5349	17223
237	5366	17182
238	5382	17138
239	5398	17095
240	5414	17053
241	5430	17010
242	5446	16967
243	5463	16926
244	5480	16887
245	5496	16846
246	5512	16804
247	5528	16765
248	5545	16724
249	5583	16750
250	5606	16730
251	5622	16690
252	5639	16650
253	5655	16610
254	5671	16570
255	5688	16532
256	5704	16493
257	5722	16457
258	5737	16414
259	5753	16373
260	5768	16334
261	5785	16295
262	5800	16255
263	5816	16215
264	5832	16176
265	5849	16140
266	5865	16103
267	5882	16066
268	5898	16030
269	5915	15993
270	5931	15955
271	5948	15920
272	5964	15883
273	5984	15855
274	6003	15827
275	6020	15792
276	6036	15756
277	6053	15720
278	6069	15685
279	6086	15650
280	6102	15614
281	6119	15581
282	6135	15545
283	6151	15509
284	6168	15475
285	6184	15440
286	6201	15407
287	6218	15374
288	6235	15340
289	6252	15306
290	6270	15278
291	6301	15278
292	6325	15263
293	6357	15265
294	6388	15267
295	6420	15270
296	6447	15261
297	6470	15241
298	6491	15219
299	6516	15204
300	6534	15173
301	6553	15145
302	6578	15132
303	6604	15121
304	6638	15127
305	6709	15217
306	6763	15266
307	6835	15357
308	6897	15424
309	6931	15428
310	6953	15404
311	6970	15370
312	6991	15344
313	7008	15310
314	7024	15276
315	7041	15242
316	7058	15208
317	7083	15190
318	7110	15179
319	7130	15152
320	7147	15118
321	7163	15083
322	7180	15049
323	7196	15015
324	7217	14989
325	7240	14969
326	7261	14945
327	7304	14965
328	7327	14944
329	7358	14940
330	7388	14934
331	7424	14939
332	7472	14966
333	7505	14966
334	7535	14957
335	7559	14939
336	7585	14922
337	7608	14901
338	7634	14886
339	7657	14864
340	7686	14854
341	7711	14836
342	7733	14812
343	7753	14785
344	7774	14759
345	7790	14725
346	7807	14692
347	7824	14659
348	7840	14625
349	7856	14591
350	7874	14559
351	7890	14525
352	7907	14492
353	7923	14458
354	7943	14433
355	7965	14408
356	7988	14387
357	8018	14378
358	8044	14363
359	8064	14337
360	8087	14315
361	8107	14288
362	8132	14271
363	8158	14254
364	8185	14241
365	8211	14224
366	8241	14215
367	8265	14194
368	8284	14166
369	8302	14136
370	8326	14116
371	8350	14097
372	8373	14075
373	8392	14048
374	8416	14027
375	8441	14008
376	8468	13994
377	8494	13977
378	8523	13966
379	8555	13958
380	8575	13933
381	8597	13909
382	8615	13879
383	8632	13847
384	8649	13817
385	8666	13785
386	8685	13757
387	8701	13724
388	8719	13695
389	8735	13663
390	8751	13630
391	8767	13597
392	8783	13566
393	8800	13535
394	8818	13507
395	8844	13490
396	8863	13462
397	8880	13432
398	8898	13403
399	8923	13384
400	8942	13358
401	8967	13339
402	8994	13324
403	9015	13300
404	9035	13275
405	9061	13257
406	9081	13232
407	9109	13218
408	9128	13191
409	9146	13161
410	9162	13130
411	9179	13100
412	9197	13073
413	9220	13051
414	9250	13039
415	9274	13019
416	9292	12992
417	9309	12961
418	9325	12930
419	9341	12900
420	9357	12869
421	9374	12839
422	9393	12812
423	9416	12792
424	9440	12772
425	9469	12760
426	9492	12738
427	9524	12729
428	9552	12714
429	9576	12694
430	9598	12671
431	9615	12642
432	9631	12612
433	9647	12581
434	9671	12561
435	9691	12536
436	9713	12513
437	9737	12494
438	9759	12472
439	9783	12451
440	9800	12423
441	9818	12395
442	9835	12366
443	9851	12335
444	9866	12305
445	9885	12279
446	9913	12263
447	9931	12236
448	9948	12208
449	9964	12179
450	9983	12153
451	10006	12131
452	10032	12113
453	10050	12086
454	10067	12058
455	10084	12030
456	10100	12001
457	10117	11973
458	10133	11944
459	10150	11916
460	10167	11887
461	10183	11859
462	10200	11830
463	10223	11810
464	10250	11793
465	10282	11782
466	10315	11773
467	10341	11756
468	10367	11737
469	10391	11718
470	10409	11691
471	10426	11663
472	10442	11634
473	10458	11605
474	10476	11578
475	10494	11552
476	10514	11528
477	10536	11506
478	10555	11481
479	10574	11455
480	10591	11427
481	10609	11401
482	10627	11375
483	10645	11348
484	10661	11320
485	10677	11292
486	10694	11265
487	10712	11239
488	10727	11210
489	10744	11182
490	10760	11154
491	10780	11130
492	10797	11104
493	10814	11077
494	10831	11050
495	10848	11023
496	10865	10996
497	10882	10969
498	10900	10944
499	10918	10918
500	10934	10890
501	10950	10862
502	10966	10835
503	10982	10808
504	10999	10781
505	11018	10757
506	11035	10730
507	11051	10703
508	11070	10678
509	11093	10658
510	11112	10633
511	11135	10613
512	11153	10588
513	11171	10562
514	11188	10537
515	11213	10518
516	11232	10493
517	11249	10467
518	11265	10440
519	11282	10414
520	11299	10388
521	11324	10369
522	11343	10345
523	11360	10319
524	11377	10293
525	11393	10267
526	11409	10240
527	11426	10214
528	11444	10189
529	11461	10163
530	11479	10138
531	11495	10112
532	11512	10086
533	11528	10060
534	11546	10035
535	11561	10008
536	11578	9982
537	11594	9956
538	11611	9930
539	11628	9905
540	11646	9881
541	11662	9854
542	11678	9828
543	11702	9809
544	11722	9787
545	11742	9763
546	11765	9743
547	11783	9719
548	11801	9694
549	11817	9669
550	11834	9643
551	11851	9618
552	11868	9593
553	11889	9571
554	11906	9546
555	11923	9521
556	11939	9495
557	11957	9471
558	11973	9445
559	11989	9420
560	12005	9394
561	12023	9370
562	12039	9345
563	12057	9320
564	12072	9295
565	12088	9269
566	12105	9244
567	12121	9219
568	12138	9194
569	12154	9169
570	12174	9146
571	12189	9120
572	12205	9095
573	12221	9070
574	12238	9045
575	12255	9021
576	12274	8998
577	12291	8973
578	12307	8949
579	12324	8924
580	12340	8899
581	12359	8876
582	12379	8854
583	12396	8830
584	12414	8806
585	12431	8782
586	12447	8757
587	12464	8733
588	12489	8715
589	12513	8695
590	12533	8673
591	12557	8654
592	12580	8634
593	12606	8616
594	12630	8596
595	12655	8578
596	12680	8559
597	12701	8538
598	12718	8514
599	12734	8489
600	12751	8465
601	12769	8442
602	12786	8418
603	12807	8396
604	12826	8374
605	12851	8355
606	12879	8338
607	12901	8317
608	12921	8296
609	12941	8274
610	12960	8251
611	12981	8230
612	13001	8207
613	13019	8185
614	13037	8161
615	13054	8137
616	13070	8113
617	13086	8089
618	13106	8067
619	13123	8043
620	13143	8021
621	13159	7997
622	13175	7973
623	13193	7949
624	13209	7925
625	13227	7902
626	13243	7878
627	13260	7855
628	13280	7832
629	13298	7810
630	13317	7787
631	13335	7765
632	13361	7746
633	13382	7725
634	13404	7704
635	13427	7684
636	13500	7693
637	13584	7707
638	13637	7704
639	13712	7713
640	13764	7708
641	13788	7689
642	13827	7676
643	13855	7659
644	13876	7637
645	13894	7614
646	13913	7591
647	13936	7570
648	13958	7548
649	13978	7526
650	14002	7506
651	14027	7487
652	14052	7467
653	14074	7446
654	14095	7424
655	14114	7401
656	14138	7381
657	14157	7358
658	14176	7335
659	14194	7312
660	14219	7292
661	14243	7272
662	14263	7250
663	14282	7227
664	14301	7204
665	14319	7181
666	14349	7163
667	14374	7144
668	14397	7123
669	14423	7104
670	14451	7085
671	14478	7066
672	14493	7041
673	14508	7017
674	14524	6993
675	14543	6970
676	14559	6946
677	14578	6923
678	14600	6902
679	14628	6884
680	14650	6862
681	14671	6840
682	14698	6821
683	14716	6798
684	14731	6774
685	14754	6753
686	14770	6729
687	14787	6705
688	14803	6682
